Variable,Description
Q16_4,Reason for not being able to get an appointment / the appointment offered was inconvenient - I couldn't book ahead at my GP surgery
Q16_5,Reason for not being able to get an appointment / the appointment offered was inconvenient - Another reason
Q17base,What did you do on that occasion? - total responses
Q17_1,What did you do on that occasion? - Went to the appointment I was offered
Q17_2,What did you do on that occasion? - Got an appointment for a different day
Q17_3,What did you do on that occasion? - Had a consultation over the phone
Q17_4,What did you do on that occasion? - Went to A&E / a walk-in centre
Q17_5,What did you do on that occasion? - Saw a pharmacist
Q17_6,What did you do on that occasion? - Decided to contact my surgery another time
Q17_7,What did you do on that occasion? - Didn't see or speak to anyone
Q18base,Overall experience of making an appointment - total responses
Q18_1,Overall experience of making an appointment - Very good
Q18_2,Overall experience of making an appointment - Fairly good
Q18_3,Overall experience of making an appointment - Neither good nor poor
Q18_4,Overall experience of making an appointment - Fairly poor
Q18_5,Overall experience of making an appointment - Very poor
Q18_12,Overall experience of making an appointment - Good (total)
Q19base,Waiting time at surgery - total responses
Q19_1,Waiting time at surgery - I don't normally have appointments at a particular time
Q19_2,Waiting time at surgery - Less than 5 minutes
Q19_3,Waiting time at surgery - 5 to 15 minutes
Q19_4,Waiting time at surgery - More than 15 minutes
Q19_5,Waiting time at surgery - Can't remember
Q20base,Impression of waiting time at surgery - total responses
Q20_1,Impression of waiting time at surgery - I don't normally have to wait too long
Q20_2,Impression of waiting time at surgery - I have to wait a bit too long
Q20_3,Impression of waiting time at surgery - I have to wait far too long
Q20_4,Impression of waiting time at surgery - No opinion / doesn't apply
Q21abase,Rating of GP giving you enough time - total responses
Q21a_1,Rating of GP giving you enough time - Very good
Q21a_2,Rating of GP giving you enough time - Good
Q21a_3,Rating of GP giving you enough time - Neither good nor poor
Q21a_4,Rating of GP giving you enough time - Poor
Q21a_5,Rating of GP giving you enough time - Very poor
Q21a_6,Rating of GP giving you enough time - Doesn't apply
Q21a_12,Rating of GP giving you enough time - Good (total)
Q21bbase,Rating of GP listening to you - total responses
Q21b_1,Rating of GP listening to you - Very good
Q21b_2,Rating of GP listening to you - Good
Q21b_3,Rating of GP listening to you - Neither good nor poor
Q21b_4,Rating of GP listening to you - Poor
Q21b_5,Rating of GP listening to you - Very poor
Q21b_6,Rating of GP listening to you - Doesn't apply
Q21b_12,Rating of GP listening to you - Good (total)
Q21cbase,Rating of GP explaining tests and treatments - total responses
Q21c_1,Rating of GP explaining tests and treatments - Very good
Q21c_2,Rating of GP explaining tests and treatments - Good
Q21c_3,Rating of GP explaining tests and treatments - Neither good nor poor
Q21c_4,Rating of GP explaining tests and treatments - Poor
Q21c_5,Rating of GP explaining tests and treatments - Very poor
Q21c_6,Rating of GP explaining tests and treatments - Doesn't apply
Q21c_12,Rating of GP explaining tests and treatments - Good (total)
Q21dbase,Rating of GP involving you in decisions about your care - total responses
Q21d_1,Rating of GP involving you in decisions about your care - Very good
Q21d_2,Rating of GP involving you in decisions about your care - Good
Q21d_3,Rating of GP involving you in decisions about your care - Neither good nor poor
Q21d_4,Rating of GP involving you in decisions about your care - Poor
Q21d_5,Rating of GP involving you in decisions about your care - Very poor
Q21d_6,Rating of GP involving you in decisions about your care - Doesn't apply
Q21d_12,Rating of GP involving you in decisions about your care - Good (total)
Q21ebase,Rating of GP treating you with care and concern - total responses
Q21e_1,Rating of GP treating you with care and concern - Very good
Q21e_2,Rating of GP treating you with care and concern - Good
Q21e_3,Rating of GP treating you with care and concern - Neither good nor poor
Q21e_4,Rating of GP treating you with care and concern - Poor
Q21e_5,Rating of GP treating you with care and concern - Very poor
Q21e_6,Rating of GP treating you with care and concern - Doesn't apply
Q21e_12,Rating of GP treating you with care and concern - Good (total)
Q22base,Confidence and trust in GP - total responses
Q22_1,"Confidence and trust in GP - Yes, definitely"
Q22_2,"Confidence and trust in GP - Yes, to some extent"
Q22_3,"Confidence and trust in GP - No, not at all"
Q22_4,Confidence and trust in GP - Don't know / can't say
Q22_12,Confidence and trust in GP - Yes (total)
Q23abase,Rating of nurse giving you enough time - total responses
Q23a_1,Rating of nurse giving you enough time - Very good
Q23a_2,Rating of nurse giving you enough time - Good
Q23a_3,Rating of nurse giving you enough time - Neither good nor poor
Q23a_4,Rating of nurse giving you enough time - Poor
Q23a_5,Rating of nurse giving you enough time - Very poor
Q23a_6,Rating of nurse giving you enough time - Doesn't apply
Q23a_12,Rating of nurse giving you enough time - Good (total)
Q23bbase,Rating of nurse listening to you - total responses
Q23b_1,Rating of nurse listening to you - Very good
Q23b_2,Rating of nurse listening to you - Good
Q23b_3,Rating of nurse listening to you - Neither good nor poor
Q23b_4,Rating of nurse listening to you - Poor
Q23b_5,Rating of nurse listening to you - Very poor
Q23b_6,Rating of nurse listening to you - Doesn't apply
Q23b_12,Rating of nurse listening to you - Good (total)
Q23cbase,Rating of nurse explaining tests and treatments - total responses
Q23c_1,Rating of nurse explaining tests and treatments - Very good
Q23c_2,Rating of nurse explaining tests and treatments - Good
Q23c_3,Rating of nurse explaining tests and treatments - Neither good nor poor
Q23c_4,Rating of nurse explaining tests and treatments - Poor
Q23c_5,Rating of nurse explaining tests and treatments - Very poor
Q23c_6,Rating of nurse explaining tests and treatments - Doesn't apply
Q23c_12,Rating of nurse explaining tests and treatments - Good (total)
Q23dbase,Rating of nurse involving you in decisions about your care - total responses
Q23d_1,Rating of nurse involving you in decisions about your care - Very good
Q23d_2,Rating of nurse involving you in decisions about your care - Good
Q23d_3,Rating of nurse involving you in decisions about your care - Neither good nor poor
Q23d_4,Rating of nurse involving you in decisions about your care - Poor
Q23d_5,Rating of nurse involving you in decisions about your care - Very poor
Q23d_6,Rating of nurse involving you in decisions about your care - Doesn't apply
Q23d_12,Rating of nurse involving you in decisions about your care - Good (total)
Q23ebase,Rating of nurse treating you with care and concern - total responses
Q23e_1,Rating of nurse treating you with care and concern - Very good
Q23e_2,Rating of nurse treating you with care and concern - Good
Q23e_3,Rating of nurse treating you with care and concern - Neither good nor poor
Q23e_4,Rating of nurse treating you with care and concern - Poor
Q23e_5,Rating of nurse treating you with care and concern - Very poor
Q23e_6,Rating of nurse treating you with care and concern - Doesn't apply
Q23e_12,Rating of nurse treating you with care and concern - Good (total)
Q24base,Confidence and trust in nurse - total responses
Q24_1,"Confidence and trust in nurse - Yes, definitely"
Q24_2,"Confidence and trust in nurse - Yes, to some extent"
Q24_3,"Confidence and trust in nurse - No, not at all"
Q24_4,Confidence and trust in nurse - Don't know / can't say
Q24_12,Confidence and trust in nurse - Yes (total)
Q25base,Satisfaction with opening hours - total responses
Q25_1,Satisfaction with opening hours - Very satisfied
Q25_2,Satisfaction with opening hours - Fairly satisfied
Q25_3,Satisfaction with opening hours - Neither satisfied nor dissatisfied
Q25_4,Satisfaction with opening hours - Fairly dissatisfied
Q25_5,Satisfaction with opening hours - Very dissatisfied
Q25_6,Satisfaction with opening hours - I'm not sure when my GP surgery is open
Q25_12,Satisfaction with opening hours - Satisfied (total)
Q26base,Is your GP surgery currently open at times that are convenient for you? - total responses
Q26_1,Is your GP surgery currently open at times that are convenient for you? - Yes
Q26_2,Is your GP surgery currently open at times that are convenient for you? - No
Q26_3,Is your GP surgery currently open at times that are convenient for you? - Don't know
Q27base,Additional opening times that would make it easier to see or speak to someone...total responses
Q27_1,Additional opening times that would make it easier to see or speak to someone...Before 8am
Q27_2,Additional opening times that would make it easier to see or speak to someone...At lunchtime
Q27_3,Additional opening times that would make it easier to see or speak to someone...After 6.30pm
Q27_4,Additional opening times that would make it easier to see or speak to someone...On a Saturday
Q27_5,Additional opening times that would make it easier to see or speak to someone...On a Sunday
Q27_6,Additional opening times that would make it easier to see or speak to someone...None of these
Q28base,Overall experience of GP surgery - total responses
Q28_1,Overall experience of GP surgery - Very good
Q28_2,Overall experience of GP surgery - Fairly good
Q28_3,Overall experience of GP surgery - Neither good nor poor
Q28_4,Overall experience of GP surgery - Fairly poor
Q28_5,Overall experience of GP surgery - Very poor
Q28_12,Overall experience of GP surgery - Good (total)
Q29base,Recommending GP surgery to someone who has just moved to the local area - total responses
Q29_1,"Recommending GP surgery to someone who has just moved to the local area - Yes, would definitely recommend"
Q29_2,"Recommending GP surgery to someone who has just moved to the local area - Yes, would probably recommend"
Q29_3,Recommending GP surgery to someone who has just moved to the local area - Not sure
Q29_4,"Recommending GP surgery to someone who has just moved to the local area - No, would probably not recommend"
Q29_5,"Recommending GP surgery to someone who has just moved to the local area - No, would definitely not recommend"
Q29_6,Recommending GP surgery to someone who has just moved to the local area - Don't know
Q29_12,Recommending GP surgery to someone who has just moved to the local area - Yes (total)
Q30_recoded_base,Long-standing health condition - total responses
Q30_recoded_1,Long-standing health condition - Yes
Q30_recoded_2,Long-standing health condition - No
Q30_recoded_3,Long-standing health condition - Don't know / can't say
Q31base,Medical conditions...total responses
Q31_1,Medical conditions...Alzheimer's disease or dementia
Q31_2,Medical conditions...Angina or long-term heart problem
Q31_3,Medical conditions...Arthritis or long-term joint problem
Q31_4,Medical conditions...Asthma or long-term chest problem
Q31_5,Medical conditions...Blindness or severe visual impairment
Q31_6,Medical conditions...Cancer in the last 5 years
Q31_7,Medical conditions...Deafness or severe hearing impairment
Q31_8,Medical conditions...Diabetes
Q31_9,Medical conditions...Epilepsy
Q31_10,Medical conditions...High blood pressure
Q31_11,Medical conditions...Kidney or liver disease
Q31_12,Medical conditions...Learning difficulty
Q31_13,Medical conditions...Long-term back problem
Q31_14,Medical conditions...Long-term mental health problem
Q31_15,Medical conditions...Long-term neurological problem
Q31_16,Medical conditions...Another long-term condition
Q31_17,Medical conditions...None of these conditions
Q31_18,Medical conditions…Prefer not to say
Q31_116,Medical conditions…Any medical condition (total)
Q32base,"Last 6 months, enough support from local services/organisations to help manage long-term conditions - total responses"
Q32_1,"Last 6 months, enough support from local services/organisations to help manage long-term conditions - Yes, definitely"
Q32_2,"Last 6 months, enough support from local services/organisations to help manage long-term conditions - Yes, to some extent"
Q32_3,"Last 6 months, enough support from local services/organisations to help manage long-term conditions - No"
Q32_4,"Last 6 months, enough support from local services/organisations to help manage long-term conditions - I haven't needed such support"
Q32_5,"Last 6 months, enough support from local services/organisations to help manage long-term conditions - Don't know / can't say"
Q32_12,"Last 6 months, enough support from local services/organisations to help manage long-term conditions - Yes (total)"
Q33base,Confidence in managing own health - total responses
Q33_1,Confidence in managing own health - Very confident
Q33_2,Confidence in managing own health - Fairly confident
Q33_3,Confidence in managing own health - Not very confident
Q33_4,Confidence in managing own health - Not at all confident
Q33_12,Confidence in managing own health - Confident (total)
Q34abase,State of health today...Mobility - total responses
Q34a_1,State of health today...Mobility - I have no problems in walking about
Q34a_2,State of health today...Mobility - I have some problems in walking about
Q34a_3,State of health today...Mobility - I am confined to bed
Q34bbase,State of health today...Self-Care - total responses
Q34b_1,State of health today...Self-Care - I have no problems with self-care
Q34b_2,State of health today...Self-Care - I have some problems washing or dressing myself
Q34b_3,State of health today...Self-Care - I am unable to wash or dress myself
Q34cbase,State of health today...Usual Activities - total responses
